Time (s),UV Hook,UV Tip,UV Lowpoint
1738929940.791399,"[461.7545166015625, 221.9508056640625]","[629.9136962890625, 311.643798828125]","[529.8807373046875, 373.7803955078125]"
1738929940.7928638,"[461.7545166015625, 221.9508056640625]","[629.9136962890625, 311.643798828125]","[529.8807373046875, 373.7803955078125]"
1738929940.7943227,"[461.7545166015625, 221.9508056640625]","[629.9136962890625, 311.643798828125]","[529.8807373046875, 373.7803955078125]"
1738929940.795898,"[461.7545166015625, 221.9508056640625]","[629.9136962890625, 311.643798828125]","[529.8807373046875, 373.7803955078125]"
1738929940.7974927,"[461.7545166015625, 221.9508056640625]","[629.9136962890625, 311.643798828125]","[529.8807373046875, 373.7803955078125]"
1738929940.7990534,"[461.7545166015625, 221.9508056640625]","[629.9136962890625, 311.643798828125]","[529.8807373046875, 373.7803955078125]"
1738929940.8006022,"[461.7545166015625, 221.9508056640625]","[629.9136962890625, 311.643798828125]","[529.8807373046875, 373.7803955078125]"
1738929940.8022652,"[461.7545166015625, 221.9508056640625]","[629.9136962890625, 311.643798828125]","[529.8807373046875, 373.7803955078125]"
1738929940.8038132,"[461.7545166015625, 221.9508056640625]","[629.9136962890625, 311.643798828125]","[529.8807373046875, 373.7803955078125]"
1738929940.8054345,"[461.7545166015625, 221.9508056640625]","[629.9136962890625, 311.643798828125]","[529.8807373046875, 373.7803955078125]"
1738929940.807013,"[461.7545166015625, 221.9508056640625]","[629.9136962890625, 311.643798828125]","[529.8807373046875, 373.7803955078125]"
1738929940.808594,"[461.7545166015625, 221.9508056640625]","[629.9136962890625, 311.643798828125]","[529.8807373046875, 373.7803955078125]"
1738929940.810154,"[461.7545166015625, 221.9508056640625]","[629.9136962890625, 311.643798828125]","[529.8807373046875, 373.7803955078125]"
1738929940.8116984,"[461.7545166015625, 221.9508056640625]","[629.9136962890625, 311.643798828125]","[529.8807373046875, 373.7803955078125]"
1738929940.8132198,"[461.7545166015625, 221.9508056640625]","[629.9136962890625, 311.643798828125]","[529.8807373046875, 373.7803955078125]"
1738929940.8147593,"[461.7545166015625, 221.9508056640625]","[629.9136962890625, 311.643798828125]","[529.8807373046875, 373.7803955078125]"
1738929940.8162844,"[461.7545166015625, 221.9508056640625]","[629.9136962890625, 311.643798828125]","[529.8807373046875, 373.7803955078125]"
1738929940.8178358,"[461.7545166015625, 221.9508056640625]","[629.9136962890625, 311.643798828125]","[529.8807373046875, 373.7803955078125]"
1738929940.8193772,"[461.7545166015625, 221.9508056640625]","[629.9136962890625, 311.643798828125]","[529.8807373046875, 373.7803955078125]"
1738929940.8209078,"[461.7545166015625, 221.9508056640625]","[629.9136962890625, 311.643798828125]","[529.8807373046875, 373.7803955078125]"
1738929940.8225236,"[461.7545166015625, 221.9508056640625]","[629.9136962890625, 311.643798828125]","[529.8807373046875, 373.7803955078125]"
1738929940.8240664,"[461.7545166015625, 221.9508056640625]","[629.9136962890625, 311.643798828125]","[529.8807373046875, 373.7803955078125]"
1738929940.8256133,"[461.7545166015625, 221.9508056640625]","[629.9136962890625, 311.643798828125]","[529.8807373046875, 373.7803955078125]"
1738929940.827957,"[461.7545166015625, 221.9508056640625]","[629.9136962890625, 311.643798828125]","[529.8807373046875, 373.7803955078125]"
1738929940.8305125,"[461.7545166015625, 221.9508056640625]","[629.9136962890625, 311.643798828125]","[529.8807373046875, 373.7803955078125]"
1738929940.8327544,"[461.7545166015625, 221.9508056640625]","[629.9136962890625, 311.643798828125]","[529.8807373046875, 373.7803955078125]"
1738929940.8349721,"[461.7545166015625, 221.9508056640625]","[629.9136962890625, 311.643798828125]","[529.8807373046875, 373.7803955078125]"
1738929940.8372571,"[461.7545166015625, 221.9508056640625]","[629.9136962890625, 311.643798828125]","[529.8807373046875, 373.7803955078125]"
1738929940.839277,"[461.7545166015625, 221.9508056640625]","[629.9136962890625, 311.643798828125]","[529.8807373046875, 373.7803955078125]"
1738929940.8542817,"[463.6126708984375, 221.9306182861328]","[631.8780517578125, 311.35919189453125]","[530.73779296875, 372.80889892578125]"
1738929940.8557732,"[463.6126708984375, 221.9306182861328]","[631.8780517578125, 311.35919189453125]","[530.73779296875, 372.80889892578125]"
1738929940.857232,"[463.6126708984375, 221.9306182861328]","[631.8780517578125, 311.35919189453125]","[530.73779296875, 372.80889892578125]"
1738929940.8587065,"[463.6126708984375, 221.9306182861328]","[631.8780517578125, 311.35919189453125]","[530.73779296875, 372.80889892578125]"
1738929940.860253,"[463.6126708984375, 221.9306182861328]","[631.8780517578125, 311.35919189453125]","[530.73779296875, 372.80889892578125]"
1738929940.8618238,"[463.6126708984375, 221.9306182861328]","[631.8780517578125, 311.35919189453125]","[530.73779296875, 372.80889892578125]"
1738929940.8633728,"[463.6126708984375, 221.9306182861328]","[631.8780517578125, 311.35919189453125]","[530.73779296875, 372.80889892578125]"
1738929940.864938,"[463.6126708984375, 221.9306182861328]","[631.8780517578125, 311.35919189453125]","[530.73779296875, 372.80889892578125]"
1738929940.866515,"[463.6126708984375, 221.9306182861328]","[631.8780517578125, 311.35919189453125]","[530.73779296875, 372.80889892578125]"
1738929940.8680398,"[463.6126708984375, 221.9306182861328]","[631.8780517578125, 311.35919189453125]","[530.73779296875, 372.80889892578125]"
1738929940.8696287,"[463.6126708984375, 221.9306182861328]","[631.8780517578125, 311.35919189453125]","[530.73779296875, 372.80889892578125]"
1738929940.871206,"[463.6126708984375, 221.9306182861328]","[631.8780517578125, 311.35919189453125]","[530.73779296875, 372.80889892578125]"
1738929940.8727584,"[463.6126708984375, 221.9306182861328]","[631.8780517578125, 311.35919189453125]","[530.73779296875, 372.80889892578125]"
1738929940.8743029,"[463.6126708984375, 221.9306182861328]","[631.8780517578125, 311.35919189453125]","[530.73779296875, 372.80889892578125]"
1738929940.875885,"[463.6126708984375, 221.9306182861328]","[631.8780517578125, 311.35919189453125]","[530.73779296875, 372.80889892578125]"
1738929940.8774629,"[463.6126708984375, 221.9306182861328]","[631.8780517578125, 311.35919189453125]","[530.73779296875, 372.80889892578125]"
1738929940.8790085,"[463.6126708984375, 221.9306182861328]","[631.8780517578125, 311.35919189453125]","[530.73779296875, 372.80889892578125]"
1738929940.8805702,"[463.6126708984375, 221.9306182861328]","[631.8780517578125, 311.35919189453125]","[530.73779296875, 372.80889892578125]"
1738929940.882167,"[463.6126708984375, 221.9306182861328]","[631.8780517578125, 311.35919189453125]","[530.73779296875, 372.80889892578125]"
1738929940.8837366,"[463.6126708984375, 221.9306182861328]","[631.8780517578125, 311.35919189453125]","[530.73779296875, 372.80889892578125]"
1738929940.8853655,"[463.6126708984375, 221.9306182861328]","[631.8780517578125, 311.35919189453125]","[530.73779296875, 372.80889892578125]"
1738929940.8869398,"[463.6126708984375, 221.9306182861328]","[631.8780517578125, 311.35919189453125]","[530.73779296875, 372.80889892578125]"
1738929940.888557,"[463.6126708984375, 221.9306182861328]","[631.8780517578125, 311.35919189453125]","[530.73779296875, 372.80889892578125]"
1738929940.8902843,"[463.6126708984375, 221.9306182861328]","[631.8780517578125, 311.35919189453125]","[530.73779296875, 372.80889892578125]"
1738929940.891876,"[463.6126708984375, 221.9306182861328]","[631.8780517578125, 311.35919189453125]","[530.73779296875, 372.80889892578125]"
1738929940.8937426,"[463.6126708984375, 221.9306182861328]","[631.8780517578125, 311.35919189453125]","[530.73779296875, 372.80889892578125]"
1738929940.8956144,"[463.6126708984375, 221.9306182861328]","[631.8780517578125, 311.35919189453125]","[530.73779296875, 372.80889892578125]"
1738929940.8975935,"[463.6126708984375, 221.9306182861328]","[631.8780517578125, 311.35919189453125]","[530.73779296875, 372.80889892578125]"
1738929940.8995535,"[463.6126708984375, 221.9306182861328]","[631.8780517578125, 311.35919189453125]","[530.73779296875, 372.80889892578125]"
1738929940.901188,"[463.6126708984375, 221.9306182861328]","[631.8780517578125, 311.35919189453125]","[530.73779296875, 372.80889892578125]"
1738929940.9150271,"[461.6278381347656, 221.45372009277344]","[629.8717041015625, 311.6548767089844]","[529.834716796875, 373.8287353515625]"
1738929940.916496,"[461.6278381347656, 221.45372009277344]","[629.8717041015625, 311.6548767089844]","[529.834716796875, 373.8287353515625]"
1738929940.9179797,"[461.6278381347656, 221.45372009277344]","[629.8717041015625, 311.6548767089844]","[529.834716796875, 373.8287353515625]"
1738929940.9194686,"[461.6278381347656, 221.45372009277344]","[629.8717041015625, 311.6548767089844]","[529.834716796875, 373.8287353515625]"
1738929940.920924,"[461.6278381347656, 221.45372009277344]","[629.8717041015625, 311.6548767089844]","[529.834716796875, 373.8287353515625]"
1738929940.9224036,"[461.6278381347656, 221.45372009277344]","[629.8717041015625, 311.6548767089844]","[529.834716796875, 373.8287353515625]"
1738929940.923909,"[461.6278381347656, 221.45372009277344]","[629.8717041015625, 311.6548767089844]","[529.834716796875, 373.8287353515625]"
1738929940.9254491,"[461.6278381347656, 221.45372009277344]","[629.8717041015625, 311.6548767089844]","[529.834716796875, 373.8287353515625]"
1738929940.9270008,"[461.6278381347656, 221.45372009277344]","[629.8717041015625, 311.6548767089844]","[529.834716796875, 373.8287353515625]"
1738929940.928527,"[461.6278381347656, 221.45372009277344]","[629.8717041015625, 311.6548767089844]","[529.834716796875, 373.8287353515625]"
1738929940.930096,"[461.6278381347656, 221.45372009277344]","[629.8717041015625, 311.6548767089844]","[529.834716796875, 373.8287353515625]"
1738929940.931635,"[461.6278381347656, 221.45372009277344]","[629.8717041015625, 311.6548767089844]","[529.834716796875, 373.8287353515625]"
1738929940.9331732,"[461.6278381347656, 221.45372009277344]","[629.8717041015625, 311.6548767089844]","[529.834716796875, 373.8287353515625]"
1738929940.9347215,"[461.6278381347656, 221.45372009277344]","[629.8717041015625, 311.6548767089844]","[529.834716796875, 373.8287353515625]"
1738929940.936283,"[461.6278381347656, 221.45372009277344]","[629.8717041015625, 311.6548767089844]","[529.834716796875, 373.8287353515625]"
1738929940.9378417,"[461.6278381347656, 221.45372009277344]","[629.8717041015625, 311.6548767089844]","[529.834716796875, 373.8287353515625]"
1738929940.9397101,"[461.6278381347656, 221.45372009277344]","[629.8717041015625, 311.6548767089844]","[529.834716796875, 373.8287353515625]"
1738929940.941252,"[461.6278381347656, 221.45372009277344]","[629.8717041015625, 311.6548767089844]","[529.834716796875, 373.8287353515625]"
1738929940.942777,"[461.6278381347656, 221.45372009277344]","[629.8717041015625, 311.6548767089844]","[529.834716796875, 373.8287353515625]"
1738929940.9443176,"[461.6278381347656, 221.45372009277344]","[629.8717041015625, 311.6548767089844]","[529.834716796875, 373.8287353515625]"
1738929940.9459305,"[461.6278381347656, 221.45372009277344]","[629.8717041015625, 311.6548767089844]","[529.834716796875, 373.8287353515625]"
1738929940.9475322,"[461.6278381347656, 221.45372009277344]","[629.8717041015625, 311.6548767089844]","[529.834716796875, 373.8287353515625]"
1738929940.949141,"[461.6278381347656, 221.45372009277344]","[629.8717041015625, 311.6548767089844]","[529.834716796875, 373.8287353515625]"
