Time (s),UV Hook,UV Tip,UV Lowpoint
1739181250.2971303,"[530.1184692382812, 210.4908447265625]","[699.1715698242188, 305.3017272949219]","[600.9962768554688, 365.9252624511719]"
1739181250.2980814,"[530.1184692382812, 210.4908447265625]","[699.1715698242188, 305.3017272949219]","[600.9962768554688, 365.9252624511719]"
1739181250.2990274,"[530.1184692382812, 210.4908447265625]","[699.1715698242188, 305.3017272949219]","[600.9962768554688, 365.9252624511719]"
1739181250.3000216,"[530.1184692382812, 210.4908447265625]","[699.1715698242188, 305.3017272949219]","[600.9962768554688, 365.9252624511719]"
1739181250.3010683,"[530.1184692382812, 210.4908447265625]","[699.1715698242188, 305.3017272949219]","[600.9962768554688, 365.9252624511719]"
1739181250.3020082,"[530.1184692382812, 210.4908447265625]","[699.1715698242188, 305.3017272949219]","[600.9962768554688, 365.9252624511719]"
1739181250.3030107,"[530.1184692382812, 210.4908447265625]","[699.1715698242188, 305.3017272949219]","[600.9962768554688, 365.9252624511719]"
1739181250.3040063,"[530.1184692382812, 210.4908447265625]","[699.1715698242188, 305.3017272949219]","[600.9962768554688, 365.9252624511719]"
1739181250.3051658,"[530.1184692382812, 210.4908447265625]","[699.1715698242188, 305.3017272949219]","[600.9962768554688, 365.9252624511719]"
1739181250.3060265,"[530.1184692382812, 210.4908447265625]","[699.1715698242188, 305.3017272949219]","[600.9962768554688, 365.9252624511719]"
1739181250.30703,"[530.1184692382812, 210.4908447265625]","[699.1715698242188, 305.3017272949219]","[600.9962768554688, 365.9252624511719]"
1739181250.3080146,"[530.1184692382812, 210.4908447265625]","[699.1715698242188, 305.3017272949219]","[600.9962768554688, 365.9252624511719]"
1739181250.3090577,"[530.1184692382812, 210.4908447265625]","[699.1715698242188, 305.3017272949219]","[600.9962768554688, 365.9252624511719]"
1739181250.3100538,"[530.1184692382812, 210.4908447265625]","[699.1715698242188, 305.3017272949219]","[600.9962768554688, 365.9252624511719]"
1739181250.3110101,"[530.1184692382812, 210.4908447265625]","[699.1715698242188, 305.3017272949219]","[600.9962768554688, 365.9252624511719]"
1739181250.3120298,"[530.1184692382812, 210.4908447265625]","[699.1715698242188, 305.3017272949219]","[600.9962768554688, 365.9252624511719]"
1739181250.3130534,"[530.1184692382812, 210.4908447265625]","[699.1715698242188, 305.3017272949219]","[600.9962768554688, 365.9252624511719]"
1739181250.3144722,"[530.1184692382812, 210.4908447265625]","[699.1715698242188, 305.3017272949219]","[600.9962768554688, 365.9252624511719]"
