Time (s),UV Hook,UV Tip,UV Lowpoint
1739181080.0557685,"[214.62847900390625, 206.04476928710938]","[382.4419860839844, 301.1321716308594]","[281.5744323730469, 365.7397155761719]"
1739181080.05676,"[214.62847900390625, 206.04476928710938]","[382.4419860839844, 301.1321716308594]","[281.5744323730469, 365.7397155761719]"
1739181080.0584013,"[214.62847900390625, 206.04476928710938]","[382.4419860839844, 301.1321716308594]","[281.5744323730469, 365.7397155761719]"
1739181080.0595584,"[214.62847900390625, 206.04476928710938]","[382.4419860839844, 301.1321716308594]","[281.5744323730469, 365.7397155761719]"
1739181080.060712,"[214.62847900390625, 206.04476928710938]","[382.4419860839844, 301.1321716308594]","[281.5744323730469, 365.7397155761719]"
1739181080.0618486,"[214.62847900390625, 206.04476928710938]","[382.4419860839844, 301.1321716308594]","[281.5744323730469, 365.7397155761719]"
1739181080.0622258,"[214.62847900390625, 206.04476928710938]","[382.4419860839844, 301.1321716308594]","[281.5744323730469, 365.7397155761719]"
1739181080.0627446,"[214.62847900390625, 206.04476928710938]","[382.4419860839844, 301.1321716308594]","[281.5744323730469, 365.7397155761719]"
1739181080.0637977,"[214.62847900390625, 206.04476928710938]","[382.4419860839844, 301.1321716308594]","[281.5744323730469, 365.7397155761719]"
1739181080.0647469,"[214.62847900390625, 206.04476928710938]","[382.4419860839844, 301.1321716308594]","[281.5744323730469, 365.7397155761719]"
1739181080.0657427,"[214.62847900390625, 206.04476928710938]","[382.4419860839844, 301.1321716308594]","[281.5744323730469, 365.7397155761719]"
1739181080.0667875,"[214.62847900390625, 206.04476928710938]","[382.4419860839844, 301.1321716308594]","[281.5744323730469, 365.7397155761719]"
1739181080.0677192,"[214.62847900390625, 206.04476928710938]","[382.4419860839844, 301.1321716308594]","[281.5744323730469, 365.7397155761719]"
1739181080.0820816,"[214.70333862304688, 206.05392456054688]","[382.59796142578125, 301.1097412109375]","[281.7440185546875, 365.7541809082031]"
1739181080.0827591,"[214.70333862304688, 206.05392456054688]","[382.59796142578125, 301.1097412109375]","[281.7440185546875, 365.7541809082031]"
1739181080.0837398,"[214.70333862304688, 206.05392456054688]","[382.59796142578125, 301.1097412109375]","[281.7440185546875, 365.7541809082031]"
1739181080.084798,"[214.70333862304688, 206.05392456054688]","[382.59796142578125, 301.1097412109375]","[281.7440185546875, 365.7541809082031]"
1739181080.0857744,"[214.70333862304688, 206.05392456054688]","[382.59796142578125, 301.1097412109375]","[281.7440185546875, 365.7541809082031]"
1739181080.0867643,"[214.70333862304688, 206.05392456054688]","[382.59796142578125, 301.1097412109375]","[281.7440185546875, 365.7541809082031]"
1739181080.08774,"[214.70333862304688, 206.05392456054688]","[382.59796142578125, 301.1097412109375]","[281.7440185546875, 365.7541809082031]"
1739181080.0887675,"[214.70333862304688, 206.05392456054688]","[382.59796142578125, 301.1097412109375]","[281.7440185546875, 365.7541809082031]"
1739181080.0897648,"[214.70333862304688, 206.05392456054688]","[382.59796142578125, 301.1097412109375]","[281.7440185546875, 365.7541809082031]"
1739181080.090775,"[214.70333862304688, 206.05392456054688]","[382.59796142578125, 301.1097412109375]","[281.7440185546875, 365.7541809082031]"
1739181080.0917609,"[214.70333862304688, 206.05392456054688]","[382.59796142578125, 301.1097412109375]","[281.7440185546875, 365.7541809082031]"
1739181080.092729,"[214.70333862304688, 206.05392456054688]","[382.59796142578125, 301.1097412109375]","[281.7440185546875, 365.7541809082031]"
1739181080.0937614,"[214.70333862304688, 206.05392456054688]","[382.59796142578125, 301.1097412109375]","[281.7440185546875, 365.7541809082031]"
1739181080.0947154,"[214.70333862304688, 206.05392456054688]","[382.59796142578125, 301.1097412109375]","[281.7440185546875, 365.7541809082031]"
1739181080.09575,"[214.70333862304688, 206.05392456054688]","[382.59796142578125, 301.1097412109375]","[281.7440185546875, 365.7541809082031]"
1739181080.0967102,"[214.70333862304688, 206.05392456054688]","[382.59796142578125, 301.1097412109375]","[281.7440185546875, 365.7541809082031]"
1739181080.09771,"[214.70333862304688, 206.05392456054688]","[382.59796142578125, 301.1097412109375]","[281.7440185546875, 365.7541809082031]"
1739181080.098737,"[214.70333862304688, 206.05392456054688]","[382.59796142578125, 301.1097412109375]","[281.7440185546875, 365.7541809082031]"
1739181080.0997603,"[214.70333862304688, 206.05392456054688]","[382.59796142578125, 301.1097412109375]","[281.7440185546875, 365.7541809082031]"
1739181080.1008186,"[214.70333862304688, 206.05392456054688]","[382.59796142578125, 301.1097412109375]","[281.7440185546875, 365.7541809082031]"
1739181080.101796,"[214.70333862304688, 206.05392456054688]","[382.59796142578125, 301.1097412109375]","[281.7440185546875, 365.7541809082031]"
1739181080.1027727,"[214.70333862304688, 206.05392456054688]","[382.59796142578125, 301.1097412109375]","[281.7440185546875, 365.7541809082031]"
1739181080.1037576,"[214.70333862304688, 206.05392456054688]","[382.59796142578125, 301.1097412109375]","[281.7440185546875, 365.7541809082031]"
1739181080.104767,"[214.70333862304688, 206.05392456054688]","[382.59796142578125, 301.1097412109375]","[281.7440185546875, 365.7541809082031]"
1739181080.1057837,"[214.70333862304688, 206.05392456054688]","[382.59796142578125, 301.1097412109375]","[281.7440185546875, 365.7541809082031]"
1739181080.1067796,"[214.70333862304688, 206.05392456054688]","[382.59796142578125, 301.1097412109375]","[281.7440185546875, 365.7541809082031]"
1739181080.1077657,"[214.70333862304688, 206.05392456054688]","[382.59796142578125, 301.1097412109375]","[281.7440185546875, 365.7541809082031]"
1739181080.108785,"[214.70333862304688, 206.05392456054688]","[382.59796142578125, 301.1097412109375]","[281.7440185546875, 365.7541809082031]"
1739181080.1097634,"[214.70333862304688, 206.05392456054688]","[382.59796142578125, 301.1097412109375]","[281.7440185546875, 365.7541809082031]"
1739181080.1108367,"[214.70333862304688, 206.05392456054688]","[382.59796142578125, 301.1097412109375]","[281.7440185546875, 365.7541809082031]"
1739181080.111975,"[214.70333862304688, 206.05392456054688]","[382.59796142578125, 301.1097412109375]","[281.7440185546875, 365.7541809082031]"
1739181080.1130908,"[214.70333862304688, 206.05392456054688]","[382.59796142578125, 301.1097412109375]","[281.7440185546875, 365.7541809082031]"
1739181080.1138356,"[214.70333862304688, 206.05392456054688]","[382.59796142578125, 301.1097412109375]","[281.7440185546875, 365.7541809082031]"
1739181080.1148262,"[214.70333862304688, 206.05392456054688]","[382.59796142578125, 301.1097412109375]","[281.7440185546875, 365.7541809082031]"
1739181080.115835,"[214.70333862304688, 206.05392456054688]","[382.59796142578125, 301.1097412109375]","[281.7440185546875, 365.7541809082031]"
1739181080.1170447,"[214.70333862304688, 206.05392456054688]","[382.59796142578125, 301.1097412109375]","[281.7440185546875, 365.7541809082031]"
1739181080.1179912,"[214.70333862304688, 206.05392456054688]","[382.59796142578125, 301.1097412109375]","[281.7440185546875, 365.7541809082031]"
1739181080.1188467,"[214.70333862304688, 206.05392456054688]","[382.59796142578125, 301.1097412109375]","[281.7440185546875, 365.7541809082031]"
1739181080.1200008,"[214.70333862304688, 206.05392456054688]","[382.59796142578125, 301.1097412109375]","[281.7440185546875, 365.7541809082031]"
1739181080.1212025,"[214.70333862304688, 206.05392456054688]","[382.59796142578125, 301.1097412109375]","[281.7440185546875, 365.7541809082031]"
1739181080.1220016,"[214.70333862304688, 206.05392456054688]","[382.59796142578125, 301.1097412109375]","[281.7440185546875, 365.7541809082031]"
1739181080.12282,"[214.70333862304688, 206.05392456054688]","[382.59796142578125, 301.1097412109375]","[281.7440185546875, 365.7541809082031]"
1739181080.1238036,"[214.70333862304688, 206.05392456054688]","[382.59796142578125, 301.1097412109375]","[281.7440185546875, 365.7541809082031]"
1739181080.1248121,"[214.70333862304688, 206.05392456054688]","[382.59796142578125, 301.1097412109375]","[281.7440185546875, 365.7541809082031]"
1739181080.1257834,"[214.70333862304688, 206.05392456054688]","[382.59796142578125, 301.1097412109375]","[281.7440185546875, 365.7541809082031]"
1739181080.127,"[214.70333862304688, 206.05392456054688]","[382.59796142578125, 301.1097412109375]","[281.7440185546875, 365.7541809082031]"
1739181080.1281831,"[214.70333862304688, 206.05392456054688]","[382.59796142578125, 301.1097412109375]","[281.7440185546875, 365.7541809082031]"
1739181080.129182,"[214.70333862304688, 206.05392456054688]","[382.59796142578125, 301.1097412109375]","[281.7440185546875, 365.7541809082031]"
1739181080.1299672,"[214.70333862304688, 206.05392456054688]","[382.59796142578125, 301.1097412109375]","[281.7440185546875, 365.7541809082031]"
1739181080.1307433,"[214.70333862304688, 206.05392456054688]","[382.59796142578125, 301.1097412109375]","[281.7440185546875, 365.7541809082031]"
1739181080.1317708,"[214.70333862304688, 206.05392456054688]","[382.59796142578125, 301.1097412109375]","[281.7440185546875, 365.7541809082031]"
1739181080.1327596,"[214.70333862304688, 206.05392456054688]","[382.59796142578125, 301.1097412109375]","[281.7440185546875, 365.7541809082031]"
1739181080.147081,"[214.6745147705078, 206.0231170654297]","[382.53521728515625, 301.1322937011719]","[281.68914794921875, 365.7457580566406]"
1739181080.147792,"[214.6745147705078, 206.0231170654297]","[382.53521728515625, 301.1322937011719]","[281.68914794921875, 365.7457580566406]"
1739181080.1487584,"[214.6745147705078, 206.0231170654297]","[382.53521728515625, 301.1322937011719]","[281.68914794921875, 365.7457580566406]"
1739181080.1497822,"[214.6745147705078, 206.0231170654297]","[382.53521728515625, 301.1322937011719]","[281.68914794921875, 365.7457580566406]"
1739181080.150828,"[214.6745147705078, 206.0231170654297]","[382.53521728515625, 301.1322937011719]","[281.68914794921875, 365.7457580566406]"
1739181080.1518147,"[214.6745147705078, 206.0231170654297]","[382.53521728515625, 301.1322937011719]","[281.68914794921875, 365.7457580566406]"
1739181080.152853,"[214.6745147705078, 206.0231170654297]","[382.53521728515625, 301.1322937011719]","[281.68914794921875, 365.7457580566406]"
1739181080.1538475,"[214.6745147705078, 206.0231170654297]","[382.53521728515625, 301.1322937011719]","[281.68914794921875, 365.7457580566406]"
1739181080.1548295,"[214.6745147705078, 206.0231170654297]","[382.53521728515625, 301.1322937011719]","[281.68914794921875, 365.7457580566406]"
1739181080.1558487,"[214.6745147705078, 206.0231170654297]","[382.53521728515625, 301.1322937011719]","[281.68914794921875, 365.7457580566406]"
1739181080.1568499,"[214.6745147705078, 206.0231170654297]","[382.53521728515625, 301.1322937011719]","[281.68914794921875, 365.7457580566406]"
1739181080.1578152,"[214.6745147705078, 206.0231170654297]","[382.53521728515625, 301.1322937011719]","[281.68914794921875, 365.7457580566406]"
1739181080.158795,"[214.6745147705078, 206.0231170654297]","[382.53521728515625, 301.1322937011719]","[281.68914794921875, 365.7457580566406]"
1739181080.1597984,"[214.6745147705078, 206.0231170654297]","[382.53521728515625, 301.1322937011719]","[281.68914794921875, 365.7457580566406]"
1739181080.1607497,"[214.6745147705078, 206.0231170654297]","[382.53521728515625, 301.1322937011719]","[281.68914794921875, 365.7457580566406]"
1739181080.1617193,"[214.6745147705078, 206.0231170654297]","[382.53521728515625, 301.1322937011719]","[281.68914794921875, 365.7457580566406]"
1739181080.1627762,"[214.6745147705078, 206.0231170654297]","[382.53521728515625, 301.1322937011719]","[281.68914794921875, 365.7457580566406]"
