Time (s),UV Hook,UV Tip,UV Lowpoint
1738934297.6557565,"[496.3360290527344, 218.2941436767578]","[660.9557495117188, 314.3125]","[563.8400268554688, 374.4619445800781]"
1738934297.6568074,"[496.3360290527344, 218.2941436767578]","[660.9557495117188, 314.3125]","[563.8400268554688, 374.4619445800781]"
1738934297.6578732,"[496.3360290527344, 218.2941436767578]","[660.9557495117188, 314.3125]","[563.8400268554688, 374.4619445800781]"
1738934297.6587765,"[496.3360290527344, 218.2941436767578]","[660.9557495117188, 314.3125]","[563.8400268554688, 374.4619445800781]"
1738934297.659815,"[496.3360290527344, 218.2941436767578]","[660.9557495117188, 314.3125]","[563.8400268554688, 374.4619445800781]"
1738934297.672664,"[496.3201904296875, 218.32400512695312]","[660.9041748046875, 314.3497314453125]","[563.4955444335938, 374.4294738769531]"
1738934297.6730638,"[496.3201904296875, 218.32400512695312]","[660.9041748046875, 314.3497314453125]","[563.4955444335938, 374.4294738769531]"
1738934297.673808,"[496.3201904296875, 218.32400512695312]","[660.9041748046875, 314.3497314453125]","[563.4955444335938, 374.4294738769531]"
1738934297.6747944,"[496.3201904296875, 218.32400512695312]","[660.9041748046875, 314.3497314453125]","[563.4955444335938, 374.4294738769531]"
1738934297.675811,"[496.3201904296875, 218.32400512695312]","[660.9041748046875, 314.3497314453125]","[563.4955444335938, 374.4294738769531]"
1738934297.6767704,"[496.3201904296875, 218.32400512695312]","[660.9041748046875, 314.3497314453125]","[563.4955444335938, 374.4294738769531]"
1738934297.677802,"[496.3201904296875, 218.32400512695312]","[660.9041748046875, 314.3497314453125]","[563.4955444335938, 374.4294738769531]"
1738934297.678768,"[496.3201904296875, 218.32400512695312]","[660.9041748046875, 314.3497314453125]","[563.4955444335938, 374.4294738769531]"
1738934297.6797872,"[496.3201904296875, 218.32400512695312]","[660.9041748046875, 314.3497314453125]","[563.4955444335938, 374.4294738769531]"
1738934297.6808152,"[496.3201904296875, 218.32400512695312]","[660.9041748046875, 314.3497314453125]","[563.4955444335938, 374.4294738769531]"
1738934297.6817925,"[496.3201904296875, 218.32400512695312]","[660.9041748046875, 314.3497314453125]","[563.4955444335938, 374.4294738769531]"
1738934297.6827826,"[496.3201904296875, 218.32400512695312]","[660.9041748046875, 314.3497314453125]","[563.4955444335938, 374.4294738769531]"
1738934297.683778,"[496.3201904296875, 218.32400512695312]","[660.9041748046875, 314.3497314453125]","[563.4955444335938, 374.4294738769531]"
1738934297.684764,"[496.3201904296875, 218.32400512695312]","[660.9041748046875, 314.3497314453125]","[563.4955444335938, 374.4294738769531]"
1738934297.6858027,"[496.3201904296875, 218.32400512695312]","[660.9041748046875, 314.3497314453125]","[563.4955444335938, 374.4294738769531]"
1738934297.6867697,"[496.3201904296875, 218.32400512695312]","[660.9041748046875, 314.3497314453125]","[563.4955444335938, 374.4294738769531]"
1738934297.6878262,"[496.3201904296875, 218.32400512695312]","[660.9041748046875, 314.3497314453125]","[563.4955444335938, 374.4294738769531]"
1738934297.688805,"[496.3201904296875, 218.32400512695312]","[660.9041748046875, 314.3497314453125]","[563.4955444335938, 374.4294738769531]"
1738934297.6898642,"[496.3201904296875, 218.32400512695312]","[660.9041748046875, 314.3497314453125]","[563.4955444335938, 374.4294738769531]"
1738934297.690827,"[496.3201904296875, 218.32400512695312]","[660.9041748046875, 314.3497314453125]","[563.4955444335938, 374.4294738769531]"
1738934297.691751,"[496.3201904296875, 218.32400512695312]","[660.9041748046875, 314.3497314453125]","[563.4955444335938, 374.4294738769531]"
1738934297.6927836,"[496.3201904296875, 218.32400512695312]","[660.9041748046875, 314.3497314453125]","[563.4955444335938, 374.4294738769531]"
1738934297.6937973,"[496.3201904296875, 218.32400512695312]","[660.9041748046875, 314.3497314453125]","[563.4955444335938, 374.4294738769531]"
