Time (s),UV Hook,UV Tip,UV Lowpoint
1739180073.9277668,"[201.28123474121094, 212.45233154296875]","[369.39337158203125, 314.1255798339844]","[269.863037109375, 374.4501037597656]"
1739180073.9290597,"[201.28123474121094, 212.45233154296875]","[369.39337158203125, 314.1255798339844]","[269.863037109375, 374.4501037597656]"
1739180073.929807,"[201.28123474121094, 212.45233154296875]","[369.39337158203125, 314.1255798339844]","[269.863037109375, 374.4501037597656]"
1739180073.9301827,"[201.28123474121094, 212.45233154296875]","[369.39337158203125, 314.1255798339844]","[269.863037109375, 374.4501037597656]"
1739180073.9308045,"[201.28123474121094, 212.45233154296875]","[369.39337158203125, 314.1255798339844]","[269.863037109375, 374.4501037597656]"
1739180073.9318032,"[201.28123474121094, 212.45233154296875]","[369.39337158203125, 314.1255798339844]","[269.863037109375, 374.4501037597656]"
1739180073.9458318,"[201.29478454589844, 212.48068237304688]","[369.3608703613281, 314.138916015625]","[269.83489990234375, 374.4622497558594]"
1739180073.9462278,"[201.29478454589844, 212.48068237304688]","[369.3608703613281, 314.138916015625]","[269.83489990234375, 374.4622497558594]"
1739180073.9467642,"[201.29478454589844, 212.48068237304688]","[369.3608703613281, 314.138916015625]","[269.83489990234375, 374.4622497558594]"
1739180073.9477735,"[201.29478454589844, 212.48068237304688]","[369.3608703613281, 314.138916015625]","[269.83489990234375, 374.4622497558594]"
1739180073.9487493,"[201.29478454589844, 212.48068237304688]","[369.3608703613281, 314.138916015625]","[269.83489990234375, 374.4622497558594]"
1739180073.9497538,"[201.29478454589844, 212.48068237304688]","[369.3608703613281, 314.138916015625]","[269.83489990234375, 374.4622497558594]"
1739180073.950744,"[201.29478454589844, 212.48068237304688]","[369.3608703613281, 314.138916015625]","[269.83489990234375, 374.4622497558594]"
1739180073.9517558,"[201.29478454589844, 212.48068237304688]","[369.3608703613281, 314.138916015625]","[269.83489990234375, 374.4622497558594]"
1739180073.9527683,"[201.29478454589844, 212.48068237304688]","[369.3608703613281, 314.138916015625]","[269.83489990234375, 374.4622497558594]"
1739180073.9537654,"[201.29478454589844, 212.48068237304688]","[369.3608703613281, 314.138916015625]","[269.83489990234375, 374.4622497558594]"
1739180073.9547524,"[201.29478454589844, 212.48068237304688]","[369.3608703613281, 314.138916015625]","[269.83489990234375, 374.4622497558594]"
1739180073.9557703,"[201.29478454589844, 212.48068237304688]","[369.3608703613281, 314.138916015625]","[269.83489990234375, 374.4622497558594]"
1739180073.9567735,"[201.29478454589844, 212.48068237304688]","[369.3608703613281, 314.138916015625]","[269.83489990234375, 374.4622497558594]"
1739180073.9578295,"[201.29478454589844, 212.48068237304688]","[369.3608703613281, 314.138916015625]","[269.83489990234375, 374.4622497558594]"
1739180073.9587533,"[201.29478454589844, 212.48068237304688]","[369.3608703613281, 314.138916015625]","[269.83489990234375, 374.4622497558594]"
1739180073.95974,"[201.29478454589844, 212.48068237304688]","[369.3608703613281, 314.138916015625]","[269.83489990234375, 374.4622497558594]"
1739180073.9610531,"[201.29478454589844, 212.48068237304688]","[369.3608703613281, 314.138916015625]","[269.83489990234375, 374.4622497558594]"
1739180073.961769,"[201.29478454589844, 212.48068237304688]","[369.3608703613281, 314.138916015625]","[269.83489990234375, 374.4622497558594]"
1739180073.962764,"[201.29478454589844, 212.48068237304688]","[369.3608703613281, 314.138916015625]","[269.83489990234375, 374.4622497558594]"
1739180073.9637706,"[201.29478454589844, 212.48068237304688]","[369.3608703613281, 314.138916015625]","[269.83489990234375, 374.4622497558594]"
1739180073.9647477,"[201.29478454589844, 212.48068237304688]","[369.3608703613281, 314.138916015625]","[269.83489990234375, 374.4622497558594]"
1739180073.9657705,"[201.29478454589844, 212.48068237304688]","[369.3608703613281, 314.138916015625]","[269.83489990234375, 374.4622497558594]"
1739180073.9668028,"[201.29478454589844, 212.48068237304688]","[369.3608703613281, 314.138916015625]","[269.83489990234375, 374.4622497558594]"
1739180073.9678097,"[201.29478454589844, 212.48068237304688]","[369.3608703613281, 314.138916015625]","[269.83489990234375, 374.4622497558594]"
1739180073.9687707,"[201.29478454589844, 212.48068237304688]","[369.3608703613281, 314.138916015625]","[269.83489990234375, 374.4622497558594]"
1739180073.9698217,"[201.29478454589844, 212.48068237304688]","[369.3608703613281, 314.138916015625]","[269.83489990234375, 374.4622497558594]"
1739180073.9707465,"[201.29478454589844, 212.48068237304688]","[369.3608703613281, 314.138916015625]","[269.83489990234375, 374.4622497558594]"
1739180073.9717977,"[201.29478454589844, 212.48068237304688]","[369.3608703613281, 314.138916015625]","[269.83489990234375, 374.4622497558594]"
1739180073.9728012,"[201.29478454589844, 212.48068237304688]","[369.3608703613281, 314.138916015625]","[269.83489990234375, 374.4622497558594]"
1739180073.9737675,"[201.29478454589844, 212.48068237304688]","[369.3608703613281, 314.138916015625]","[269.83489990234375, 374.4622497558594]"
1739180073.9747498,"[201.29478454589844, 212.48068237304688]","[369.3608703613281, 314.138916015625]","[269.83489990234375, 374.4622497558594]"
1739180073.975772,"[201.29478454589844, 212.48068237304688]","[369.3608703613281, 314.138916015625]","[269.83489990234375, 374.4622497558594]"
1739180073.976736,"[201.29478454589844, 212.48068237304688]","[369.3608703613281, 314.138916015625]","[269.83489990234375, 374.4622497558594]"
1739180073.9778063,"[201.29478454589844, 212.48068237304688]","[369.3608703613281, 314.138916015625]","[269.83489990234375, 374.4622497558594]"
1739180073.9788141,"[201.29478454589844, 212.48068237304688]","[369.3608703613281, 314.138916015625]","[269.83489990234375, 374.4622497558594]"
1739180073.9797683,"[201.29478454589844, 212.48068237304688]","[369.3608703613281, 314.138916015625]","[269.83489990234375, 374.4622497558594]"
