epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,507.856,0.6438,1.48861,0.39259,0.87067,0.97425,0.97713,0.98917,0.72056,0.86707,0.87786,0.85119,0.46401,0.72362,1.87794,0.38094,0.85905,9.3268e-05,9.3268e-05,9.3268e-05
70,514.796,0.62604,1.46817,0.3779,0.85893,0.96777,0.98232,0.98971,0.72037,0.85188,0.86458,0.83491,0.44685,0.72856,1.93108,0.3877,0.86313,9.3169e-05,9.3169e-05,9.3169e-05
71,522.189,0.63896,1.48697,0.39029,0.86872,0.95198,0.97874,0.98527,0.72384,0.83659,0.86345,0.8247,0.43513,0.71367,2.0257,0.38316,0.85254,9.307e-05,9.307e-05,9.307e-05
72,529.314,0.63879,1.50921,0.39202,0.86471,0.97122,0.97276,0.98441,0.72231,0.86726,0.87543,0.85315,0.4489,0.701,1.96003,0.38254,0.84588,9.2971e-05,9.2971e-05,9.2971e-05
73,536.755,0.62074,1.47614,0.37964,0.86091,0.97421,0.98248,0.99117,0.73283,0.86138,0.87435,0.85236,0.46386,0.6988,1.83827,0.37699,0.84113,9.2872e-05,9.2872e-05,9.2872e-05
74,543.566,0.61809,1.47979,0.37773,0.85719,0.97927,0.98268,0.99036,0.73265,0.87488,0.88043,0.85171,0.46466,0.70222,1.86033,0.37673,0.84464,9.2773e-05,9.2773e-05,9.2773e-05
75,549.931,0.62157,1.46189,0.38185,0.85877,0.96562,0.97263,0.98465,0.72704,0.81938,0.84681,0.80552,0.44247,0.6911,1.93442,0.38062,0.84242,9.2674e-05,9.2674e-05,9.2674e-05
76,557.338,0.6255,1.47163,0.38117,0.86609,0.98119,0.98303,0.99131,0.73182,0.85732,0.8599,0.84709,0.46017,0.70555,1.89139,0.37309,0.84603,9.2575e-05,9.2575e-05,9.2575e-05
77,564.298,0.61205,1.46484,0.37424,0.85569,0.97857,0.98545,0.99175,0.72396,0.86804,0.86578,0.8533,0.46141,0.742,1.87759,0.38365,0.85574,9.2476e-05,9.2476e-05,9.2476e-05
78,572.196,0.64127,1.52816,0.37844,0.86517,0.98239,0.97821,0.99106,0.71918,0.86352,0.86043,0.83794,0.4546,0.7438,1.94439,0.386,0.85761,9.2377e-05,9.2377e-05,9.2377e-05
79,578.821,0.61724,1.43998,0.3756,0.85717,0.9776,0.98422,0.99278,0.71431,0.85659,0.86158,0.83434,0.45608,0.72173,1.91974,0.38502,0.85018,9.2278e-05,9.2278e-05,9.2278e-05
80,585.323,0.64333,1.45286,0.39305,0.86273,0.96949,0.97541,0.98565,0.72433,0.84179,0.84057,0.81936,0.4414,0.70571,2.09285,0.3761,0.8475,9.2179e-05,9.2179e-05,9.2179e-05
81,592.414,0.63559,1.46463,0.38475,0.86073,0.97532,0.98437,0.99151,0.72276,0.82893,0.82622,0.80687,0.43835,0.71552,2.00677,0.37803,0.85073,9.208e-05,9.208e-05,9.208e-05
82,598.945,0.61817,1.44757,0.37653,0.85685,0.98478,0.98768,0.99102,0.72318,0.86388,0.86114,0.84766,0.4683,0.71425,1.89463,0.37643,0.84781,9.1981e-05,9.1981e-05,9.1981e-05
83,605.951,0.62189,1.47639,0.38277,0.85789,0.96715,0.99071,0.98957,0.7219,0.83853,0.85771,0.81706,0.4606,0.70417,1.82361,0.37861,0.84629,9.1882e-05,9.1882e-05,9.1882e-05
84,613.08,0.63373,1.47694,0.38463,0.8662,0.97494,0.98011,0.99131,0.73516,0.85381,0.857,0.84004,0.45814,0.70219,1.85817,0.37214,0.84377,9.1783e-05,9.1783e-05,9.1783e-05
85,620.889,0.62854,1.51776,0.38346,0.86218,0.97211,0.97743,0.99004,0.73195,0.83798,0.86174,0.83018,0.44961,0.71142,1.95512,0.37388,0.8468,9.1684e-05,9.1684e-05,9.1684e-05
86,627.822,0.61264,1.50805,0.3773,0.85586,0.9702,0.98298,0.98881,0.73423,0.86769,0.85811,0.85055,0.45772,0.72239,1.94184,0.38014,0.85334,9.1585e-05,9.1585e-05,9.1585e-05
87,634.766,0.62061,1.49172,0.38003,0.86067,0.96048,0.99036,0.98979,0.72962,0.82002,0.8489,0.81458,0.44159,0.68862,1.95238,0.37393,0.84138,9.1486e-05,9.1486e-05,9.1486e-05
88,641.349,0.62246,1.47436,0.3777,0.85947,0.96179,0.98921,0.98982,0.72245,0.83532,0.86426,0.82451,0.45177,0.72871,1.92218,0.37781,0.86125,9.1387e-05,9.1387e-05,9.1387e-05
