hook_num,trajectory_process,x_max_local,x_min_local,y_max_local,y_min_local,z_max_local,z_min_local,roll_max,pitch_max,yaw_max,x_mean_local,y_mean_local,z_mean_local,x_mean_work,y_mean_work,z_mean_work,x_mean_all_work,y_mean_all_work,z_mean_all_work
5,3,9.31368147678399e-06,-3.47852547298519,2.29756390798093,-1.92370548914891,9.48285580733942e-06,-3.7500723543009,9.20295485369108,7.26998163478524,4.93661658931681,-1.69834257301382,-0.235942534006928,-2.08616990290909,-2.4568326669666,-1.00393955997266,-0.487154529810654,,,
5,4,9.31368147678399e-06,-3.38721531801077,2.13377267429425,-3.32174653839226e-05,9.48285580733942e-06,-0.842984164386342,0.0002096024342748,-6.94340565985385e-05,1.01176124658774,-3.02580006602081,2.0789009590845,-0.760762938442883,-2.79582918518343,-0.52776838080065,2.44115166339124,,,
6,1,-5.06147118048352e-06,-3.21570692125964,3.33358277573905,-1.44710953058493e-05,1.84067874917313e-07,-1.97192133691436,16.4981272116329,23.1934663901788,29.3610048555728,-2.08769157597177,1.62546628960452,-1.20948667694165,-2.85879159533188,-0.536862478198968,0.0719022353295665,,,
6,2,-5.06147118048352e-06,-3.21570692125964,3.33358277573905,-1.44710953058493e-05,1.84067874917313e-07,-1.97192133691436,-3.03560554227665,-8.72551673909855,6.29071221745927,-2.08769157597177,1.62546628960452,-1.20948667694165,-2.85879159533188,-0.536862478198968,0.0719022353295665,,,
6,3,-5.06147118048352e-06,-3.21570692125964,3.33358277573905,-1.44710953058493e-05,1.84067874917313e-07,-1.97192133691436,7.02055421081137,0.793095391485675,3.40962379420347,-2.08769157597177,1.62546628960452,-1.20948667694165,-2.85879159533188,-0.536862478198968,0.0719022353295665,,,
6,4,-5.06147118048352e-06,-3.12762484850569,2.62062333150715,-1.44710953058493e-05,1.84067874917313e-07,-0.658510614522051,16.3556759826142,11.5935944803029,2.55806394206677,-3.05802588571425,2.55399553077553,-0.440157404696783,-3.7158849979703,-0.631581797188086,1.36391775172418,,,
7,1,-3.24989441850747e-06,-2.68121690007474,2.7799735355039,-0.201011608360299,1.77516480232515e-06,-1.23165287966735,46.376955736884,12.5761646948809,32.2143289346949,-1.7970814536839,0.393055860309167,-0.662038563686124,-1.57406018646334,-0.97230639257913,0.628204022685942,,,
7,2,-3.24989441850747e-06,-2.68121690007474,2.7799735355039,-0.201011608360299,1.77516480232515e-06,-1.23165287966735,15.9676545856061,0.570783391547103,14.2775619238185,-1.7970814536839,0.393055860309167,-0.662038563686124,-1.57406018646334,-0.97230639257913,0.628204022685942,,,
7,3,-3.24989441850747e-06,-2.68121690007474,2.7799735355039,-0.201011608360299,1.77516480232515e-06,-1.23165287966735,7.93206586208031,1.37478351353971,7.61137072690904,-1.7970814536839,0.393055860309167,-0.662038563686124,-1.57406018646334,-0.97230639257913,0.628204022685942,,,
7,4,-3.24989441850747e-06,-2.18097936771558,0.43194413148153,-2.6355428630108e-05,1.77516480232515e-06,-1.26643412540686,0.0001501876542135,1.08030612959727,0.143760644130559,-1.99165967852754,0.388592303650313,-1.06416378321003,-1.95694616564254,-1.10586287083688,0.445476395029191,,,
8,1,6.94982934990095e-06,-4.02430921001325,2.21836142019623,-5.05937761211609e-05,6.16986623907821e-06,-1.97572664397027,43.3506592546231,23.3893266040169,20.3664667846328,-2.61329353433851,1.24496413073198,-1.29936023458234,-2.55544793581174,-1.8036583919495,0.534896626156687,,,
8,2,6.94982934990095e-06,-4.02430921001325,2.21836142019623,-5.05937761211609e-05,6.16986623907821e-06,-1.97572664397027,8.51403257582523,-3.24074133854685,20.3664667846327,-2.61329353433851,1.24496413073198,-1.29936023458234,-2.55544793581174,-1.8036583919495,0.534896626156687,,,
8,3,6.94982934990095e-06,-4.02430921001325,2.21836142019623,-5.05937761211609e-05,6.16986623907821e-06,-1.97572664397027,5.09996189687196,4.76768080136152,10.8120707555574,-2.61329353433851,1.24496413073198,-1.29936023458234,-2.55544793581174,-1.8036583919495,0.534896626156687,,,
8,4,6.94982934990095e-06,-3.07041747830175,1.31201547881043,-5.05937761211609e-05,6.16986623907821e-06,-2.33127955724684,0.0002332207282691,11.9967792362214,-3.25618759973167e-05,-2.69419897607013,1.2731765120812,-2.11685696019718,-3.13365757982807,-1.88173118965571,-0.0311209568079472,,,
9,1,1.09587464560542e-07,-3.57891231587835,2.41337095450517,-1.09720372564205e-07,-1.56539238950421e-07,-1.6922577689581,23.5251931180077,28.3595934395952,27.1945190478804,-2.31046868604367,1.95437699383086,-1.11815251899253,-3.06707994685735,-0.461010623749466,0.891080504878029,,,
9,2,1.09587464560542e-07,-3.57891231587835,2.41337095450517,-1.09720372564205e-07,-1.56539238950421e-07,-1.6922577689581,5.66339852541701,-2.2857891830938,5.3421806070295,-2.31046868604367,1.95437699383086,-1.11815251899253,-3.06707994685735,-0.461010623749466,0.891080504878029,,,
9,3,1.09587464560542e-07,-3.57891231587835,2.41337095450517,-1.09720372564205e-07,-1.56539238950421e-07,-1.6922577689581,6.70817063907458,1.65987893782269,2.61735216381967,-2.31046868604367,1.95437699383086,-1.11815251899253,-3.06707994685735,-0.461010623749466,0.891080504878029,,,
9,4,1.09587464560542e-07,-2.98065532668712,2.31694235764378,-1.09720372564205e-07,-1.56539238950421e-07,-1.51069125268931,7.14077444942063,5.79694000047067,-2.10461588991961e-05,-2.75209036693511,2.25728654604412,-1.35982739823669,-3.62325688929617,-0.604414946419943,1.01287979906172,,,
11,1,-1.78021752358241e-05,-2.62266212964095,1.83176454408372,-0.407828513599072,-7.24113634880044e-06,-5.82743130957288,91.2789936473533,22.7125448207587,73.0789131243976,-1.76405904412384,0.110852927528356,-4.29171563223849,-3.19573910963927,-0.765433840250396,-3.27826393102977,,,
11,2,-1.78021752358241e-05,-2.62266212964095,1.83176454408372,-0.407828513599072,-7.24113634880044e-06,-5.82743130957288,7.1413253658537,-0.466126559891265,5.62946299623166,-1.76405904412384,0.110852927528356,-4.29171563223849,-3.19573910963927,-0.765433840250396,-3.27826393102977,,,
11,3,-1.78021752358241e-05,-2.62266212964095,1.83176454408372,-0.407828513599072,-7.24113634880044e-06,-5.82743130957288,18.0974444469673,5.58249827725937,19.7291249351732,-1.76405904412384,0.110852927528356,-4.29171563223849,-3.19573910963927,-0.765433840250396,-3.27826393102977,,,
11,4,-1.78021752358241e-05,-2.05005162787704,0.801160428625854,-2.23873700421679e-05,-7.24113634880044e-06,-5.99032962550373,31.5315202606874,7.57955848323615,34.7264752794573,-1.84095890315765,0.783218836492005,-5.63507567396954,-3.99998455656353,-0.226134220666712,-4.43921194622803,,,
12,1,7.47181462345349e-07,-3.28288718607171,3.37683089932963,-0.398813884989262,1.58677678130137,-1.45798740822916,59.8786210206966,13.9103205338892,33.2337166529233,-2.4318761415313,0.487195047308172,0.874307529123619,-0.809447975686763,-1.48654840773753,2.01236920493178,,,
12,2,7.47181462345349e-07,-3.28288718607171,3.37683089932963,-0.398813884989262,1.58677678130137,-1.45798740822916,12.7693589887548,-2.38278006766725,13.7353892794721,-2.4318761415313,0.487195047308172,0.874307529123619,-0.809447975686763,-1.48654840773753,2.01236920493178,,,
12,3,7.47181462345349e-07,-3.28288718607171,3.37683089932963,-0.398813884989262,1.58677678130137,-1.45798740822916,6.98154232801108,0.463672033273806,7.20031632765316,-2.4318761415313,0.487195047308172,0.874307529123619,-0.809447975686763,-1.48654840773753,2.01236920493178,,,
12,4,7.47181462345349e-07,-2.58106418469213,1.09199203674029,-7.44664487685045e-07,-1.05557356409915e-06,-1.67833792306334,0.338217458693798,2.44595053743908,-3.03841495110646e-05,-2.35487886825914,1.03542929471158,-1.16037934556681,-2.4699128591608,-1.1214185480426,0.779551257304914,,,
13,1,9.23357856692172e-07,-2.87296134034929,2.20412401704375,-1.80329391013258,-1.30544110627889e-06,-3.00203208232982,54.5635115421578,11.4943711863363,35.3544103832013,-1.18299466605327,-1.00144243896959,-1.45202396489986,-1.08536030026544,-1.5708184945221,-0.932524441922611,,,
13,2,9.23357856692172e-07,-2.87296134034929,2.20412401704375,-1.80329391013258,-1.30544110627889e-06,-3.00203208232982,12.9820722387548,-4.56207924727993,13.4936115100585,-1.18299466605327,-1.00144243896959,-1.45202396489986,-1.08536030026544,-1.5708184945221,-0.932524441922611,,,
13,3,9.23357856692172e-07,-2.87296134034929,2.20412401704375,-1.80329391013258,-1.30544110627889e-06,-3.00203208232982,8.15101926766727,-1.96483588733096,7.66791971068391,-1.18299466605327,-1.00144243896959,-1.45202396489986,-1.08536030026544,-1.5708184945221,-0.932524441922611,,,
13,4,9.23357856692172e-07,-1.28942010455579,-9.20934721668305e-07,-1.18010616107158,-1.30544110627889e-06,-2.95411711442871,2.42316609981753,-5.04396306126864e-05,1.12398073950443,-0.943805028712052,-1.01203773847124,-2.63943685476133,-1.78080230447466,-1.42665216506008,-1.91676505712285,,,
14,1,-3.01810829308421e-05,-2.64597418160105,2.26237176704224,-2.10501373195621e-05,-1.72383167135102e-05,-2.37182549685568,48.412771020383,15.5808915082339,35.4616497267551,-1.43530558220339,0.862496766033468,-1.26853754464369,-2.06242259737806,-0.364111188904208,-0.174160773886965,,,
14,2,-3.01810829308421e-05,-2.64597418160105,2.26237176704224,-2.10501373195621e-05,-1.72383167135102e-05,-2.37182549685568,6.85085893883099,-5.60876800143812,8.39946267391007,-1.43530558220339,0.862496766033468,-1.26853754464369,-2.06242259737806,-0.364111188904208,-0.174160773886965,,,
