epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
49,455.409,0.69023,1.5493,0.55015,0.89129,0.93336,0.90603,0.9444,0.69073,0.88637,0.83741,0.85801,0.44982,0.76449,1.81194,0.53614,0.87092,9.5248e-05,9.5248e-05,9.5248e-05
50,465.706,0.70008,1.58943,0.56425,0.89507,0.92661,0.89054,0.9404,0.68319,0.87304,0.82974,0.85115,0.45894,0.77296,1.77579,0.54149,0.86916,9.5149e-05,9.5149e-05,9.5149e-05
51,475.261,0.70724,1.53728,0.55774,0.89193,0.94218,0.88297,0.94275,0.6943,0.89152,0.81501,0.84589,0.45289,0.76972,1.88938,0.53619,0.86552,9.505e-05,9.505e-05,9.505e-05
52,484.613,0.69183,1.54459,0.56063,0.88651,0.92995,0.89889,0.94497,0.69542,0.88308,0.82747,0.85638,0.46001,0.76372,1.77274,0.54103,0.86428,9.4951e-05,9.4951e-05,9.4951e-05
53,494.092,0.70026,1.54283,0.55825,0.89404,0.9254,0.9122,0.94695,0.69017,0.86671,0.83912,0.85204,0.45179,0.74632,1.83481,0.52762,0.86177,9.4852e-05,9.4852e-05,9.4852e-05
54,502.483,0.6773,1.53138,0.54037,0.88422,0.91439,0.90789,0.94186,0.69206,0.85085,0.84835,0.86349,0.44875,0.7539,1.88115,0.52907,0.86645,9.4753e-05,9.4753e-05,9.4753e-05
55,511.583,0.68353,1.56181,0.53929,0.88735,0.93079,0.9103,0.94218,0.69115,0.85228,0.84031,0.85291,0.46505,0.75245,1.76508,0.52648,0.86287,9.4654e-05,9.4654e-05,9.4654e-05
56,519.849,0.68583,1.49955,0.53455,0.88419,0.9256,0.90538,0.94375,0.69349,0.8767,0.80533,0.83334,0.42113,0.7714,2.09496,0.52203,0.87003,9.4555e-05,9.4555e-05,9.4555e-05
57,528.413,0.68131,1.5149,0.52944,0.87627,0.92257,0.9009,0.94279,0.68943,0.89911,0.81484,0.86288,0.45157,0.77222,1.89728,0.52827,0.86946,9.4456e-05,9.4456e-05,9.4456e-05
58,538.106,0.6919,1.56283,0.54812,0.89337,0.91111,0.90467,0.9411,0.68879,0.89009,0.82315,0.85943,0.4595,0.75353,1.80449,0.52976,0.86344,9.4357e-05,9.4357e-05,9.4357e-05
59,547.391,0.69069,1.51122,0.5453,0.89131,0.93136,0.90239,0.9426,0.69796,0.84074,0.82557,0.83044,0.44059,0.74772,1.86643,0.52525,0.85952,9.4258e-05,9.4258e-05,9.4258e-05
60,556.913,0.69048,1.54725,0.5412,0.88871,0.93319,0.90219,0.9423,0.69121,0.8532,0.83001,0.83536,0.45148,0.75496,1.90577,0.52533,0.86419,9.4159e-05,9.4159e-05,9.4159e-05
