Time (s),UV Hook,UV Tip,UV Lowpoint
1739178605.4693186,"[588.1798706054688, 218.0719451904297]","[751.92919921875, 315.6344299316406]","[656.28515625, 374.46820068359375]"
1739178605.470282,"[588.1798706054688, 218.0719451904297]","[751.92919921875, 315.6344299316406]","[656.28515625, 374.46820068359375]"
1739178605.471345,"[588.1798706054688, 218.0719451904297]","[751.92919921875, 315.6344299316406]","[656.28515625, 374.46820068359375]"
1739178605.47226,"[588.1798706054688, 218.0719451904297]","[751.92919921875, 315.6344299316406]","[656.28515625, 374.46820068359375]"
1739178605.4732728,"[588.1798706054688, 218.0719451904297]","[751.92919921875, 315.6344299316406]","[656.28515625, 374.46820068359375]"
1739178605.474264,"[588.1798706054688, 218.0719451904297]","[751.92919921875, 315.6344299316406]","[656.28515625, 374.46820068359375]"
1739178605.4752584,"[588.1798706054688, 218.0719451904297]","[751.92919921875, 315.6344299316406]","[656.28515625, 374.46820068359375]"
1739178605.4762807,"[588.1798706054688, 218.0719451904297]","[751.92919921875, 315.6344299316406]","[656.28515625, 374.46820068359375]"
1739178605.4773142,"[588.1798706054688, 218.0719451904297]","[751.92919921875, 315.6344299316406]","[656.28515625, 374.46820068359375]"
1739178605.4782748,"[588.1798706054688, 218.0719451904297]","[751.92919921875, 315.6344299316406]","[656.28515625, 374.46820068359375]"
1739178605.4792545,"[588.1798706054688, 218.0719451904297]","[751.92919921875, 315.6344299316406]","[656.28515625, 374.46820068359375]"
1739178605.4802825,"[588.1798706054688, 218.0719451904297]","[751.92919921875, 315.6344299316406]","[656.28515625, 374.46820068359375]"
1739178605.4812856,"[588.1798706054688, 218.0719451904297]","[751.92919921875, 315.6344299316406]","[656.28515625, 374.46820068359375]"
1739178605.4822571,"[588.1798706054688, 218.0719451904297]","[751.92919921875, 315.6344299316406]","[656.28515625, 374.46820068359375]"
1739178605.4832602,"[588.1798706054688, 218.0719451904297]","[751.92919921875, 315.6344299316406]","[656.28515625, 374.46820068359375]"
1739178605.4842787,"[588.1798706054688, 218.0719451904297]","[751.92919921875, 315.6344299316406]","[656.28515625, 374.46820068359375]"
1739178605.4852772,"[588.1798706054688, 218.0719451904297]","[751.92919921875, 315.6344299316406]","[656.28515625, 374.46820068359375]"
1739178605.4862633,"[588.1798706054688, 218.0719451904297]","[751.92919921875, 315.6344299316406]","[656.28515625, 374.46820068359375]"
