Time (s),UV Hook,UV Tip,UV Lowpoint
1738933929.416891,"[614.8328247070312, 222.832275390625]","[780.6511840820312, 312.0401611328125]","[681.0198974609375, 373.0691833496094]"
1738933929.4178803,"[614.8328247070312, 222.832275390625]","[780.6511840820312, 312.0401611328125]","[681.0198974609375, 373.0691833496094]"
1738933929.4188614,"[614.8328247070312, 222.832275390625]","[780.6511840820312, 312.0401611328125]","[681.0198974609375, 373.0691833496094]"
1738933929.4198515,"[614.8328247070312, 222.832275390625]","[780.6511840820312, 312.0401611328125]","[681.0198974609375, 373.0691833496094]"
1738933929.4208736,"[614.8328247070312, 222.832275390625]","[780.6511840820312, 312.0401611328125]","[681.0198974609375, 373.0691833496094]"
1738933929.432795,"[614.8652954101562, 222.8841094970703]","[780.676513671875, 311.9915466308594]","[680.9852905273438, 373.09759521484375]"
1738933929.4444563,"[614.8652954101562, 222.8841094970703]","[780.676513671875, 311.9915466308594]","[680.9852905273438, 373.09759521484375]"
1738933929.4448397,"[614.8652954101562, 222.8841094970703]","[780.676513671875, 311.9915466308594]","[680.9852905273438, 373.09759521484375]"
1738933929.4459107,"[614.8652954101562, 222.8841094970703]","[780.676513671875, 311.9915466308594]","[680.9852905273438, 373.09759521484375]"
1738933929.446853,"[614.8652954101562, 222.8841094970703]","[780.676513671875, 311.9915466308594]","[680.9852905273438, 373.09759521484375]"
1738933929.4479008,"[614.8652954101562, 222.8841094970703]","[780.676513671875, 311.9915466308594]","[680.9852905273438, 373.09759521484375]"
1738933929.448821,"[614.8652954101562, 222.8841094970703]","[780.676513671875, 311.9915466308594]","[680.9852905273438, 373.09759521484375]"
1738933929.4498346,"[614.8652954101562, 222.8841094970703]","[780.676513671875, 311.9915466308594]","[680.9852905273438, 373.09759521484375]"
1738933929.4508214,"[614.8652954101562, 222.8841094970703]","[780.676513671875, 311.9915466308594]","[680.9852905273438, 373.09759521484375]"
1738933929.451813,"[614.8652954101562, 222.8841094970703]","[780.676513671875, 311.9915466308594]","[680.9852905273438, 373.09759521484375]"
1738933929.4528677,"[614.8652954101562, 222.8841094970703]","[780.676513671875, 311.9915466308594]","[680.9852905273438, 373.09759521484375]"
1738933929.4538836,"[614.8652954101562, 222.8841094970703]","[780.676513671875, 311.9915466308594]","[680.9852905273438, 373.09759521484375]"
1738933929.4548056,"[614.8652954101562, 222.8841094970703]","[780.676513671875, 311.9915466308594]","[680.9852905273438, 373.09759521484375]"
1738933929.4558585,"[614.8652954101562, 222.8841094970703]","[780.676513671875, 311.9915466308594]","[680.9852905273438, 373.09759521484375]"
1738933929.4568243,"[614.8652954101562, 222.8841094970703]","[780.676513671875, 311.9915466308594]","[680.9852905273438, 373.09759521484375]"
1738933929.4579012,"[614.8652954101562, 222.8841094970703]","[780.676513671875, 311.9915466308594]","[680.9852905273438, 373.09759521484375]"
1738933929.4588268,"[614.8652954101562, 222.8841094970703]","[780.676513671875, 311.9915466308594]","[680.9852905273438, 373.09759521484375]"
1738933929.459815,"[614.8652954101562, 222.8841094970703]","[780.676513671875, 311.9915466308594]","[680.9852905273438, 373.09759521484375]"
1738933929.4608357,"[614.8652954101562, 222.8841094970703]","[780.676513671875, 311.9915466308594]","[680.9852905273438, 373.09759521484375]"
1738933929.461846,"[614.8652954101562, 222.8841094970703]","[780.676513671875, 311.9915466308594]","[680.9852905273438, 373.09759521484375]"
