epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,1169.87,0.60556,1.44946,0.37014,0.87519,0.95773,0.94984,0.97205,0.73593,0.88221,0.87587,0.87938,0.48096,0.72517,1.73574,0.38081,0.86764,9.5644e-05,9.5644e-05,9.5644e-05
46,1196.78,0.59853,1.46067,0.36331,0.87392,0.94787,0.9524,0.96352,0.73443,0.88738,0.88288,0.89734,0.50857,0.71771,1.60955,0.37703,0.85898,9.5545e-05,9.5545e-05,9.5545e-05
47,1224.01,0.60222,1.47985,0.36585,0.86855,0.96113,0.94438,0.97476,0.74413,0.88504,0.8777,0.88087,0.45534,0.70857,1.95273,0.37649,0.85323,9.5446e-05,9.5446e-05,9.5446e-05
48,1249.66,0.59317,1.44958,0.36881,0.86937,0.94725,0.93536,0.96155,0.73386,0.86495,0.85959,0.86377,0.4873,0.73048,1.72816,0.37808,0.8643,9.5347e-05,9.5347e-05,9.5347e-05
49,1274.01,0.58792,1.42745,0.35644,0.86746,0.95732,0.94711,0.97742,0.74285,0.88384,0.85055,0.86467,0.45243,0.70563,1.99099,0.36777,0.8537,9.5248e-05,9.5248e-05,9.5248e-05
50,1299.57,0.59095,1.44908,0.36282,0.86652,0.96099,0.95953,0.97876,0.7471,0.88117,0.88055,0.87697,0.48261,0.71297,1.7391,0.36594,0.85597,9.5149e-05,9.5149e-05,9.5149e-05
51,1325.62,0.59754,1.46744,0.36444,0.86895,0.95298,0.95941,0.97367,0.75014,0.88695,0.8927,0.8907,0.47806,0.70012,1.85399,0.36234,0.85467,9.505e-05,9.505e-05,9.505e-05
52,1350.55,0.58939,1.45625,0.3539,0.86855,0.95968,0.94906,0.97474,0.74981,0.89855,0.88715,0.90017,0.48812,0.69385,1.76855,0.35819,0.84665,9.4951e-05,9.4951e-05,9.4951e-05
53,1376.34,0.57524,1.42962,0.35654,0.86361,0.95548,0.94214,0.96935,0.74785,0.89094,0.87671,0.89184,0.49229,0.71181,1.70789,0.36614,0.85821,9.4852e-05,9.4852e-05,9.4852e-05
54,1399.5,0.57465,1.40155,0.35157,0.86126,0.95938,0.9462,0.97002,0.73932,0.89288,0.88277,0.88394,0.46379,0.70689,1.8999,0.36584,0.85386,9.4753e-05,9.4753e-05,9.4753e-05
55,1426.54,0.5888,1.44955,0.35946,0.86553,0.94396,0.94895,0.97294,0.75371,0.88335,0.85068,0.87602,0.47346,0.70294,1.90351,0.36754,0.84873,9.4654e-05,9.4654e-05,9.4654e-05
56,1451.15,0.58018,1.44343,0.35003,0.86377,0.94621,0.95084,0.96605,0.74541,0.86517,0.86495,0.8616,0.47304,0.69075,1.81315,0.36676,0.84995,9.4555e-05,9.4555e-05,9.4555e-05
57,1475.5,0.5842,1.40713,0.35188,0.86717,0.95792,0.95136,0.97148,0.74433,0.8876,0.88189,0.88174,0.47109,0.70423,1.86042,0.36279,0.85336,9.4456e-05,9.4456e-05,9.4456e-05
58,1501.43,0.59052,1.43616,0.35074,0.86574,0.96443,0.96126,0.97844,0.75592,0.87593,0.87292,0.86577,0.47614,0.6957,1.76687,0.3614,0.84835,9.4357e-05,9.4357e-05,9.4357e-05
59,1525.44,0.56938,1.39613,0.34589,0.86067,0.96784,0.94475,0.97591,0.74858,0.89626,0.86868,0.88324,0.48592,0.69963,1.77822,0.36477,0.84668,9.4258e-05,9.4258e-05,9.4258e-05
60,1550.06,0.58118,1.42312,0.35115,0.86636,0.9586,0.94448,0.97387,0.74739,0.88069,0.87388,0.87631,0.47171,0.68011,1.83539,0.35825,0.84606,9.4159e-05,9.4159e-05,9.4159e-05
61,1575.16,0.57435,1.42194,0.34558,0.86053,0.96573,0.95465,0.97855,0.75495,0.9015,0.88616,0.89735,0.47961,0.7043,1.78852,0.36317,0.85129,9.406e-05,9.406e-05,9.406e-05
62,1603.26,0.58436,1.46417,0.35332,0.86637,0.95262,0.93417,0.95913,0.7325,0.88473,0.87014,0.87775,0.47964,0.73707,1.74248,0.37838,0.86896,9.3961e-05,9.3961e-05,9.3961e-05
63,1629.06,0.58344,1.43959,0.35067,0.86883,0.96274,0.95034,0.97118,0.7545,0.89955,0.88227,0.90136,0.49859,0.68922,1.6973,0.36132,0.84887,9.3862e-05,9.3862e-05,9.3862e-05
64,1655.98,0.58663,1.45354,0.35016,0.86582,0.97188,0.94654,0.97402,0.75178,0.89521,0.88045,0.88728,0.47334,0.68891,1.86725,0.36476,0.85148,9.3763e-05,9.3763e-05,9.3763e-05
65,1681.76,0.59303,1.44471,0.35717,0.87106,0.95861,0.94741,0.96823,0.75722,0.89955,0.89244,0.89967,0.49056,0.68425,1.71729,0.36022,0.84811,9.3664e-05,9.3664e-05,9.3664e-05
66,1707.74,0.57639,1.42198,0.35019,0.8571,0.96633,0.95782,0.97671,0.75464,0.90208,0.89528,0.8997,0.48425,0.68622,1.79068,0.35585,0.84361,9.3565e-05,9.3565e-05,9.3565e-05
67,1732.34,0.5801,1.42285,0.34848,0.85798,0.96764,0.95743,0.97814,0.75322,0.89897,0.88966,0.89281,0.48816,0.70309,1.77134,0.35809,0.84399,9.3466e-05,9.3466e-05,9.3466e-05
68,1758.47,0.57661,1.43178,0.3464,0.85903,0.95794,0.95651,0.9732,0.75434,0.90457,0.90423,0.90864,0.49429,0.70203,1.80082,0.36887,0.84879,9.3367e-05,9.3367e-05,9.3367e-05
69,1783.19,0.57507,1.41169,0.34407,0.86006,0.95612,0.9547,0.97553,0.75622,0.88504,0.88536,0.89205,0.47637,0.67645,1.78783,0.36541,0.83913,9.3268e-05,9.3268e-05,9.3268e-05
70,1807.41,0.56727,1.39931,0.34127,0.85973,0.9558,0.95061,0.97176,0.75312,0.8829,0.8858,0.88715,0.47585,0.70238,1.83025,0.36772,0.84736,9.3169e-05,9.3169e-05,9.3169e-05
