Time (s),UV Hook,UV Tip,UV Lowpoint
1739283721.3093243,"[543.7734375, 214.20596313476562]","[696.357177734375, 324.68365478515625]","[596.8360595703125, 373.1878967285156]"
1739283721.310276,"[543.7734375, 214.20596313476562]","[696.357177734375, 324.68365478515625]","[596.8360595703125, 373.1878967285156]"
1739283721.3112493,"[543.7734375, 214.20596313476562]","[696.357177734375, 324.68365478515625]","[596.8360595703125, 373.1878967285156]"
1739283721.3122518,"[543.7734375, 214.20596313476562]","[696.357177734375, 324.68365478515625]","[596.8360595703125, 373.1878967285156]"
1739283721.3132732,"[543.7734375, 214.20596313476562]","[696.357177734375, 324.68365478515625]","[596.8360595703125, 373.1878967285156]"
1739283721.314244,"[543.7734375, 214.20596313476562]","[696.357177734375, 324.68365478515625]","[596.8360595703125, 373.1878967285156]"
1739283721.315253,"[543.7734375, 214.20596313476562]","[696.357177734375, 324.68365478515625]","[596.8360595703125, 373.1878967285156]"
1739283721.316267,"[543.7734375, 214.20596313476562]","[696.357177734375, 324.68365478515625]","[596.8360595703125, 373.1878967285156]"
1739283721.3173087,"[543.7734375, 214.20596313476562]","[696.357177734375, 324.68365478515625]","[596.8360595703125, 373.1878967285156]"
1739283721.31824,"[543.7734375, 214.20596313476562]","[696.357177734375, 324.68365478515625]","[596.8360595703125, 373.1878967285156]"
1739283721.3192642,"[543.7734375, 214.20596313476562]","[696.357177734375, 324.68365478515625]","[596.8360595703125, 373.1878967285156]"
1739283721.320269,"[543.7734375, 214.20596313476562]","[696.357177734375, 324.68365478515625]","[596.8360595703125, 373.1878967285156]"
1739283721.3212683,"[543.7734375, 214.20596313476562]","[696.357177734375, 324.68365478515625]","[596.8360595703125, 373.1878967285156]"
1739283721.3222258,"[543.7734375, 214.20596313476562]","[696.357177734375, 324.68365478515625]","[596.8360595703125, 373.1878967285156]"
1739283721.3232923,"[543.7734375, 214.20596313476562]","[696.357177734375, 324.68365478515625]","[596.8360595703125, 373.1878967285156]"
1739283721.324235,"[543.7734375, 214.20596313476562]","[696.357177734375, 324.68365478515625]","[596.8360595703125, 373.1878967285156]"
1739283721.325249,"[543.7734375, 214.20596313476562]","[696.357177734375, 324.68365478515625]","[596.8360595703125, 373.1878967285156]"
1739283721.3262353,"[543.7734375, 214.20596313476562]","[696.357177734375, 324.68365478515625]","[596.8360595703125, 373.1878967285156]"
1739283721.3272588,"[543.7734375, 214.20596313476562]","[696.357177734375, 324.68365478515625]","[596.8360595703125, 373.1878967285156]"
1739283721.3282604,"[543.7734375, 214.20596313476562]","[696.357177734375, 324.68365478515625]","[596.8360595703125, 373.1878967285156]"
1739283721.329299,"[543.7734375, 214.20596313476562]","[696.357177734375, 324.68365478515625]","[596.8360595703125, 373.1878967285156]"
1739283721.3302634,"[543.7734375, 214.20596313476562]","[696.357177734375, 324.68365478515625]","[596.8360595703125, 373.1878967285156]"
1739283721.331261,"[543.7734375, 214.20596313476562]","[696.357177734375, 324.68365478515625]","[596.8360595703125, 373.1878967285156]"
1739283721.3322551,"[543.7734375, 214.20596313476562]","[696.357177734375, 324.68365478515625]","[596.8360595703125, 373.1878967285156]"
1739283721.3332438,"[543.7734375, 214.20596313476562]","[696.357177734375, 324.68365478515625]","[596.8360595703125, 373.1878967285156]"
1739283721.3342571,"[543.7734375, 214.20596313476562]","[696.357177734375, 324.68365478515625]","[596.8360595703125, 373.1878967285156]"
1739283721.3352153,"[543.7734375, 214.20596313476562]","[696.357177734375, 324.68365478515625]","[596.8360595703125, 373.1878967285156]"
1739283721.336221,"[543.7734375, 214.20596313476562]","[696.357177734375, 324.68365478515625]","[596.8360595703125, 373.1878967285156]"
1739283721.3505192,"[543.7818603515625, 214.28759765625]","[696.3388671875, 324.6751708984375]","[596.9102783203125, 373.1684265136719]"
