epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,333.023,0.74093,1.59392,0.62273,0.89121,0.96587,0.95112,0.97492,0.68662,0.86065,0.84138,0.82183,0.47071,0.82996,1.62319,0.58389,0.9028,9.3169e-05,9.3169e-05,9.3169e-05
71,337.527,0.73063,1.6129,0.61984,0.88679,0.96808,0.94255,0.97318,0.68507,0.84946,0.82859,0.80255,0.45286,0.80636,1.69975,0.58055,0.88867,9.307e-05,9.307e-05,9.307e-05
72,341.656,0.75142,1.49838,0.63285,0.8921,0.96459,0.93847,0.97188,0.67592,0.85014,0.83285,0.80562,0.44056,0.81331,1.8737,0.58815,0.88978,9.2971e-05,9.2971e-05,9.2971e-05
73,345.77,0.73318,1.57641,0.62031,0.88527,0.96375,0.95245,0.9754,0.68023,0.85902,0.85536,0.82041,0.44437,0.79794,1.87932,0.5787,0.8841,9.2872e-05,9.2872e-05,9.2872e-05
74,350.067,0.71744,1.58154,0.5875,0.87788,0.94925,0.94609,0.97145,0.6846,0.83819,0.83954,0.81161,0.45485,0.80612,1.81035,0.58812,0.88247,9.2773e-05,9.2773e-05,9.2773e-05
75,354.077,0.73236,1.50699,0.60582,0.87202,0.93416,0.94618,0.96894,0.67532,0.8024,0.833,0.78637,0.44782,0.8317,1.78462,0.58692,0.89358,9.2674e-05,9.2674e-05,9.2674e-05
76,358.462,0.72501,1.60603,0.60107,0.87886,0.95447,0.94514,0.9721,0.68644,0.86741,0.83024,0.81478,0.45265,0.8002,1.78975,0.56638,0.88408,9.2575e-05,9.2575e-05,9.2575e-05
77,363.097,0.70749,1.599,0.59903,0.87606,0.95837,0.93226,0.97004,0.69405,0.86467,0.82441,0.8074,0.42796,0.78853,1.99855,0.57217,0.87786,9.2476e-05,9.2476e-05,9.2476e-05
78,367.667,0.73792,1.60027,0.61715,0.88968,0.95744,0.94207,0.96989,0.67649,0.85525,0.84039,0.80378,0.42282,0.82041,2.04268,0.58152,0.8901,9.2377e-05,9.2377e-05,9.2377e-05
79,372.202,0.72532,1.61487,0.59195,0.8828,0.95584,0.94782,0.9693,0.68288,0.84421,0.82856,0.79349,0.42682,0.79828,1.94642,0.55589,0.88058,9.2278e-05,9.2278e-05,9.2278e-05
80,376.557,0.71665,1.57655,0.5822,0.8741,0.95264,0.94736,0.96993,0.68417,0.82944,0.84405,0.80525,0.43884,0.81764,1.84988,0.55673,0.89346,9.2179e-05,9.2179e-05,9.2179e-05
81,380.919,0.7155,1.51778,0.59868,0.88185,0.95366,0.95366,0.97322,0.68678,0.83603,0.84847,0.80182,0.43702,0.81197,1.92643,0.56246,0.90043,9.208e-05,9.208e-05,9.208e-05
82,385.467,0.70794,1.69108,0.58529,0.87813,0.96206,0.95123,0.97388,0.69037,0.83946,0.83538,0.79963,0.43737,0.80587,1.90002,0.56316,0.89204,9.1981e-05,9.1981e-05,9.1981e-05
