epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
48,663.104,0.61695,1.47142,0.39329,0.87624,0.92872,0.92638,0.96343,0.73031,0.86121,0.85497,0.87637,0.46598,0.71664,1.84519,0.41685,0.85325,9.5347e-05,9.5347e-05,9.5347e-05
49,677.055,0.62721,1.4673,0.39698,0.87473,0.94042,0.9329,0.96302,0.73077,0.87275,0.87243,0.88246,0.47729,0.72724,1.8137,0.41589,0.85734,9.5248e-05,9.5248e-05,9.5248e-05
50,689.954,0.60814,1.46525,0.3888,0.86721,0.9452,0.93577,0.96718,0.73551,0.88383,0.87429,0.88767,0.49101,0.72342,1.72965,0.41257,0.85508,9.5149e-05,9.5149e-05,9.5149e-05
51,702.972,0.61501,1.46842,0.38545,0.86948,0.94651,0.93048,0.9662,0.73863,0.87576,0.85866,0.87312,0.4665,0.72703,1.8752,0.40785,0.85702,9.505e-05,9.505e-05,9.505e-05
52,716.358,0.6187,1.47321,0.39435,0.87429,0.95077,0.92119,0.96819,0.73297,0.88942,0.85768,0.89294,0.48432,0.72272,1.74156,0.40811,0.85677,9.4951e-05,9.4951e-05,9.4951e-05
53,729.391,0.6052,1.46858,0.38257,0.86965,0.9549,0.93132,0.97043,0.73914,0.8842,0.8409,0.85649,0.44795,0.70224,1.91033,0.3989,0.8462,9.4852e-05,9.4852e-05,9.4852e-05
54,742.551,0.60515,1.47175,0.37841,0.8655,0.95284,0.92407,0.96044,0.71327,0.89238,0.87491,0.89732,0.49662,0.77608,1.67462,0.4274,0.88211,9.4753e-05,9.4753e-05,9.4753e-05
55,755.532,0.61195,1.44244,0.3825,0.86653,0.95565,0.9205,0.96445,0.72413,0.89207,0.85293,0.88125,0.46856,0.73843,1.88608,0.41559,0.85829,9.4654e-05,9.4654e-05,9.4654e-05
56,769.3,0.61576,1.46321,0.38821,0.86801,0.94713,0.94043,0.96923,0.7431,0.87688,0.86811,0.88306,0.47394,0.7113,1.75045,0.3999,0.85327,9.4555e-05,9.4555e-05,9.4555e-05
57,782.892,0.62258,1.47102,0.38939,0.87578,0.94815,0.93235,0.96566,0.73112,0.86531,0.85536,0.86525,0.46142,0.72774,1.87476,0.40392,0.86187,9.4456e-05,9.4456e-05,9.4456e-05
58,795.414,0.59661,1.44079,0.37787,0.86375,0.93419,0.93114,0.96064,0.71529,0.86441,0.85142,0.86803,0.4526,0.72998,1.92421,0.40771,0.85903,9.4357e-05,9.4357e-05,9.4357e-05
59,809.129,0.61177,1.47895,0.37861,0.86866,0.94415,0.94296,0.97121,0.74004,0.88461,0.87498,0.88352,0.4671,0.70167,1.77861,0.39221,0.84703,9.4258e-05,9.4258e-05,9.4258e-05
60,822.723,0.6105,1.47131,0.38469,0.87402,0.95824,0.92513,0.96589,0.73745,0.88355,0.86445,0.8776,0.47983,0.70888,1.70571,0.39676,0.85421,9.4159e-05,9.4159e-05,9.4159e-05
61,836.595,0.60906,1.46974,0.38065,0.87442,0.93433,0.93868,0.96078,0.73054,0.86519,0.86323,0.87171,0.46614,0.73614,1.89954,0.40742,0.86473,9.406e-05,9.406e-05,9.406e-05
62,850.053,0.60813,1.46975,0.37883,0.86577,0.92912,0.93686,0.96288,0.73126,0.85768,0.87233,0.88108,0.48111,0.7482,1.75632,0.41256,0.87496,9.3961e-05,9.3961e-05,9.3961e-05
63,862.406,0.59126,1.41622,0.37354,0.86501,0.95731,0.92659,0.9677,0.7374,0.89219,0.86058,0.8821,0.46489,0.71942,1.88054,0.4013,0.85683,9.3862e-05,9.3862e-05,9.3862e-05
64,875.875,0.59345,1.42887,0.37227,0.86491,0.94862,0.92826,0.96499,0.73219,0.87381,0.86088,0.87885,0.48669,0.70939,1.77413,0.3909,0.84778,9.3763e-05,9.3763e-05,9.3763e-05
65,889.691,0.61176,1.44626,0.37625,0.87283,0.93173,0.93401,0.96395,0.7331,0.87181,0.87605,0.89366,0.48154,0.7328,1.82365,0.40187,0.86122,9.3664e-05,9.3664e-05,9.3664e-05
66,902.912,0.58805,1.43206,0.37145,0.86155,0.92803,0.93911,0.96499,0.73946,0.85438,0.86507,0.87116,0.46493,0.70772,1.93778,0.4009,0.84959,9.3565e-05,9.3565e-05,9.3565e-05
67,915.845,0.58117,1.44152,0.36731,0.86007,0.94269,0.93857,0.96503,0.74012,0.88004,0.87327,0.89082,0.48166,0.7115,1.732,0.3954,0.85179,9.3466e-05,9.3466e-05,9.3466e-05
68,929.502,0.59207,1.4675,0.37185,0.8612,0.94703,0.93904,0.96904,0.73018,0.89604,0.8424,0.86327,0.45647,0.7194,1.92516,0.40006,0.85262,9.3367e-05,9.3367e-05,9.3367e-05
69,943.502,0.60437,1.45474,0.37981,0.87077,0.95342,0.93605,0.97158,0.74036,0.85258,0.84775,0.84497,0.44142,0.71894,1.99271,0.39556,0.85951,9.3268e-05,9.3268e-05,9.3268e-05
70,956.591,0.59002,1.42104,0.36833,0.86221,0.95755,0.93578,0.96891,0.7414,0.88638,0.86502,0.89167,0.47442,0.73075,1.80554,0.40063,0.8647,9.3169e-05,9.3169e-05,9.3169e-05
71,970.724,0.60011,1.44743,0.37529,0.86555,0.95321,0.94173,0.9732,0.74045,0.86077,0.86632,0.86898,0.46236,0.71091,1.9043,0.3899,0.85266,9.307e-05,9.307e-05,9.307e-05
72,984.756,0.58848,1.44084,0.36918,0.86481,0.93805,0.94706,0.96894,0.74079,0.86103,0.86217,0.87102,0.4616,0.71819,1.95551,0.38592,0.86019,9.2971e-05,9.2971e-05,9.2971e-05
73,998.099,0.58842,1.42346,0.36845,0.86237,0.95088,0.94899,0.97151,0.74643,0.86898,0.86479,0.86821,0.46223,0.70639,1.88654,0.38886,0.85028,9.2872e-05,9.2872e-05,9.2872e-05
74,1013.38,0.59633,1.45818,0.37189,0.86382,0.9494,0.94172,0.96476,0.73995,0.87053,0.8646,0.87978,0.48137,0.71807,1.78131,0.40104,0.86278,9.2773e-05,9.2773e-05,9.2773e-05
75,1027.05,0.59199,1.40668,0.37187,0.86891,0.93978,0.94311,0.96431,0.73046,0.86805,0.87504,0.87587,0.45834,0.70443,1.85479,0.39465,0.85335,9.2674e-05,9.2674e-05,9.2674e-05
76,1040.62,0.58391,1.40244,0.36739,0.85858,0.94729,0.94157,0.96915,0.74613,0.88725,0.84023,0.87038,0.45729,0.71301,1.96092,0.39213,0.85297,9.2575e-05,9.2575e-05,9.2575e-05
