Time (s),UV Hook,UV Tip,UV Lowpoint
1739283980.7349396,"[610.9895629882812, 210.72462463378906]","[774.7329711914062, 302.862548828125]","[679.666015625, 361.37744140625]"
1739283980.7359548,"[610.9895629882812, 210.72462463378906]","[774.7329711914062, 302.862548828125]","[679.666015625, 361.37744140625]"
1739283980.7369115,"[610.9895629882812, 210.72462463378906]","[774.7329711914062, 302.862548828125]","[679.666015625, 361.37744140625]"
1739283980.7379117,"[610.9895629882812, 210.72462463378906]","[774.7329711914062, 302.862548828125]","[679.666015625, 361.37744140625]"
1739283980.7389343,"[610.9895629882812, 210.72462463378906]","[774.7329711914062, 302.862548828125]","[679.666015625, 361.37744140625]"
1739283980.7399518,"[610.9895629882812, 210.72462463378906]","[774.7329711914062, 302.862548828125]","[679.666015625, 361.37744140625]"
1739283980.7409694,"[610.9895629882812, 210.72462463378906]","[774.7329711914062, 302.862548828125]","[679.666015625, 361.37744140625]"
1739283980.7419302,"[610.9895629882812, 210.72462463378906]","[774.7329711914062, 302.862548828125]","[679.666015625, 361.37744140625]"
1739283980.7428944,"[610.9895629882812, 210.72462463378906]","[774.7329711914062, 302.862548828125]","[679.666015625, 361.37744140625]"
1739283980.7438962,"[610.9895629882812, 210.72462463378906]","[774.7329711914062, 302.862548828125]","[679.666015625, 361.37744140625]"
1739283980.7448888,"[610.9895629882812, 210.72462463378906]","[774.7329711914062, 302.862548828125]","[679.666015625, 361.37744140625]"
1739283980.7459066,"[610.9895629882812, 210.72462463378906]","[774.7329711914062, 302.862548828125]","[679.666015625, 361.37744140625]"
1739283980.746899,"[610.9895629882812, 210.72462463378906]","[774.7329711914062, 302.862548828125]","[679.666015625, 361.37744140625]"
1739283980.7479131,"[610.9895629882812, 210.72462463378906]","[774.7329711914062, 302.862548828125]","[679.666015625, 361.37744140625]"
1739283980.7489085,"[610.9895629882812, 210.72462463378906]","[774.7329711914062, 302.862548828125]","[679.666015625, 361.37744140625]"
1739283980.7628787,"[611.0638427734375, 210.79222106933594]","[774.7718505859375, 302.8693542480469]","[679.69287109375, 361.3773193359375]"
1739283980.7632895,"[611.0638427734375, 210.79222106933594]","[774.7718505859375, 302.8693542480469]","[679.69287109375, 361.3773193359375]"
1739283980.7639356,"[611.0638427734375, 210.79222106933594]","[774.7718505859375, 302.8693542480469]","[679.69287109375, 361.3773193359375]"
1739283980.7649539,"[611.0638427734375, 210.79222106933594]","[774.7718505859375, 302.8693542480469]","[679.69287109375, 361.3773193359375]"
1739283980.7659054,"[611.0638427734375, 210.79222106933594]","[774.7718505859375, 302.8693542480469]","[679.69287109375, 361.3773193359375]"
1739283980.766913,"[611.0638427734375, 210.79222106933594]","[774.7718505859375, 302.8693542480469]","[679.69287109375, 361.3773193359375]"
1739283980.7679572,"[611.0638427734375, 210.79222106933594]","[774.7718505859375, 302.8693542480469]","[679.69287109375, 361.3773193359375]"
1739283980.7689385,"[611.0638427734375, 210.79222106933594]","[774.7718505859375, 302.8693542480469]","[679.69287109375, 361.3773193359375]"
1739283980.7699428,"[611.0638427734375, 210.79222106933594]","[774.7718505859375, 302.8693542480469]","[679.69287109375, 361.3773193359375]"
1739283980.7709496,"[611.0638427734375, 210.79222106933594]","[774.7718505859375, 302.8693542480469]","[679.69287109375, 361.3773193359375]"
1739283980.7719877,"[611.0638427734375, 210.79222106933594]","[774.7718505859375, 302.8693542480469]","[679.69287109375, 361.3773193359375]"
1739283980.7729173,"[611.0638427734375, 210.79222106933594]","[774.7718505859375, 302.8693542480469]","[679.69287109375, 361.3773193359375]"
1739283980.773967,"[611.0638427734375, 210.79222106933594]","[774.7718505859375, 302.8693542480469]","[679.69287109375, 361.3773193359375]"
1739283980.7749095,"[611.0638427734375, 210.79222106933594]","[774.7718505859375, 302.8693542480469]","[679.69287109375, 361.3773193359375]"
1739283980.7759526,"[611.0638427734375, 210.79222106933594]","[774.7718505859375, 302.8693542480469]","[679.69287109375, 361.3773193359375]"
1739283980.776926,"[611.0638427734375, 210.79222106933594]","[774.7718505859375, 302.8693542480469]","[679.69287109375, 361.3773193359375]"
1739283980.777918,"[611.0638427734375, 210.79222106933594]","[774.7718505859375, 302.8693542480469]","[679.69287109375, 361.3773193359375]"
1739283980.7789202,"[611.0638427734375, 210.79222106933594]","[774.7718505859375, 302.8693542480469]","[679.69287109375, 361.3773193359375]"
1739283980.779932,"[611.0638427734375, 210.79222106933594]","[774.7718505859375, 302.8693542480469]","[679.69287109375, 361.3773193359375]"
1739283980.7809548,"[611.0638427734375, 210.79222106933594]","[774.7718505859375, 302.8693542480469]","[679.69287109375, 361.3773193359375]"
1739283980.7819576,"[611.0638427734375, 210.79222106933594]","[774.7718505859375, 302.8693542480469]","[679.69287109375, 361.3773193359375]"
1739283980.7829268,"[611.0638427734375, 210.79222106933594]","[774.7718505859375, 302.8693542480469]","[679.69287109375, 361.3773193359375]"
1739283980.7839274,"[611.0638427734375, 210.79222106933594]","[774.7718505859375, 302.8693542480469]","[679.69287109375, 361.3773193359375]"
1739283980.7849803,"[611.0638427734375, 210.79222106933594]","[774.7718505859375, 302.8693542480469]","[679.69287109375, 361.3773193359375]"
1739283980.785918,"[611.0638427734375, 210.79222106933594]","[774.7718505859375, 302.8693542480469]","[679.69287109375, 361.3773193359375]"
1739283980.7869134,"[611.0638427734375, 210.79222106933594]","[774.7718505859375, 302.8693542480469]","[679.69287109375, 361.3773193359375]"
1739283980.7879632,"[611.0638427734375, 210.79222106933594]","[774.7718505859375, 302.8693542480469]","[679.69287109375, 361.3773193359375]"
1739283980.7889848,"[611.0638427734375, 210.79222106933594]","[774.7718505859375, 302.8693542480469]","[679.69287109375, 361.3773193359375]"
1739283980.7899227,"[611.0638427734375, 210.79222106933594]","[774.7718505859375, 302.8693542480469]","[679.69287109375, 361.3773193359375]"
1739283980.7909071,"[611.0638427734375, 210.79222106933594]","[774.7718505859375, 302.8693542480469]","[679.69287109375, 361.3773193359375]"
1739283980.7919662,"[611.0638427734375, 210.79222106933594]","[774.7718505859375, 302.8693542480469]","[679.69287109375, 361.3773193359375]"
1739283980.7928998,"[611.0638427734375, 210.79222106933594]","[774.7718505859375, 302.8693542480469]","[679.69287109375, 361.3773193359375]"
1739283980.793913,"[611.0638427734375, 210.79222106933594]","[774.7718505859375, 302.8693542480469]","[679.69287109375, 361.3773193359375]"
1739283980.7949226,"[611.0638427734375, 210.79222106933594]","[774.7718505859375, 302.8693542480469]","[679.69287109375, 361.3773193359375]"
1739283980.7959557,"[611.0638427734375, 210.79222106933594]","[774.7718505859375, 302.8693542480469]","[679.69287109375, 361.3773193359375]"
1739283980.796914,"[611.0638427734375, 210.79222106933594]","[774.7718505859375, 302.8693542480469]","[679.69287109375, 361.3773193359375]"
1739283980.7979975,"[611.0638427734375, 210.79222106933594]","[774.7718505859375, 302.8693542480469]","[679.69287109375, 361.3773193359375]"
1739283980.7989278,"[611.0638427734375, 210.79222106933594]","[774.7718505859375, 302.8693542480469]","[679.69287109375, 361.3773193359375]"
1739283980.7999375,"[611.0638427734375, 210.79222106933594]","[774.7718505859375, 302.8693542480469]","[679.69287109375, 361.3773193359375]"
1739283980.800965,"[611.0638427734375, 210.79222106933594]","[774.7718505859375, 302.8693542480469]","[679.69287109375, 361.3773193359375]"
1739283980.8019848,"[611.0638427734375, 210.79222106933594]","[774.7718505859375, 302.8693542480469]","[679.69287109375, 361.3773193359375]"
1739283980.8029354,"[611.0638427734375, 210.79222106933594]","[774.7718505859375, 302.8693542480469]","[679.69287109375, 361.3773193359375]"
1739283980.8038917,"[611.0638427734375, 210.79222106933594]","[774.7718505859375, 302.8693542480469]","[679.69287109375, 361.3773193359375]"
1739283980.8049846,"[611.0638427734375, 210.79222106933594]","[774.7718505859375, 302.8693542480469]","[679.69287109375, 361.3773193359375]"
1739283980.8059058,"[611.0638427734375, 210.79222106933594]","[774.7718505859375, 302.8693542480469]","[679.69287109375, 361.3773193359375]"
1739283980.8069327,"[611.0638427734375, 210.79222106933594]","[774.7718505859375, 302.8693542480469]","[679.69287109375, 361.3773193359375]"
1739283980.8079572,"[611.0638427734375, 210.79222106933594]","[774.7718505859375, 302.8693542480469]","[679.69287109375, 361.3773193359375]"
1739283980.8089304,"[611.0638427734375, 210.79222106933594]","[774.7718505859375, 302.8693542480469]","[679.69287109375, 361.3773193359375]"
1739283980.8099291,"[611.0638427734375, 210.79222106933594]","[774.7718505859375, 302.8693542480469]","[679.69287109375, 361.3773193359375]"
1739283980.8109279,"[611.0638427734375, 210.79222106933594]","[774.7718505859375, 302.8693542480469]","[679.69287109375, 361.3773193359375]"
